,text_description
2239,有一个Xuhui的detached lane house，1卧1厅1卫，面积是80平方米，有浴缸，房租价格是15000.0。
2240,有一个Xuhui的detached lane house，2卧2厅1卫，面积是85平方米，有供暖，有空调，房租价格是15000.0。
2241,有一个Xuhui的public housing，1卧2厅1卫，面积是75平方米，有室外空间，有供暖，有浴缸，有地暖，有烤箱，房租价格是15000.0。
2242,有一个Xuhui的detached lane house，1卧2厅1卫，面积是70平方米，有室外空间，有空调，有阳台，房租价格是15000.0。
2243,有一个Xuhui的detached lane house，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有浴缸，房租价格是15000.0。
2244,有一个Xuhui的detached lane house，1卧1厅1卫，面积是75平方米，有室外空间，有供暖，有空调，有地暖，有烤箱，房租价格是15000.0。
2245,有一个Xuhui的detached lane house，2卧2厅2卫，面积是100平方米，有空调，房租价格是15000.0。
2246,有一个Xuhui的attached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是15000.0。
2247,有一个Xuhui的attached lane house，2卧1厅1卫，面积是60平方米，有空调，有地暖，房租价格是15000.0。
2248,有一个Xuhui的attached lane house，2卧2厅1卫，面积是70平方米，有供暖，有空调，房租价格是15000.0。
2249,有一个Xuhui的detached lane house，2卧2厅2卫，面积是80平方米，有室外空间，房租价格是15000.0。
2250,有一个Xuhui的attached lane house，1卧2厅1卫，面积是70平方米，有供暖，有空调，有地暖，房租价格是15000.0。
2251,有一个Xuhui的detached lane house，1卧1厅1卫，面积是42平方米，有室外空间，房租价格是15000.0。
2252,有一个Xuhui的detached lane house，2卧1厅1卫，面积是85平方米，有浴缸，房租价格是15000.0。
2253,有一个Xuhui的public housing，2卧2厅1卫，面积是8平方米，房租价格是15000.0。
2254,有一个Xuhui的detached lane house，1卧2厅1卫，面积是70平方米，有供暖，有空调，有WIFI，房租价格是15000.0。
2255,有一个Xuhui的detached lane house，1卧2厅1卫，面积是75平方米，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是15000.0。
2256,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是15000.0。
2257,有一个Xuhui的attached lane house，2卧2厅2卫，面积是70平方米，有室外空间，有供暖，房租价格是15000.0。
2258,有一个Xuhui的detached lane house，2卧2厅2卫，面积是80平方米，有室外空间，房租价格是15000.0。
2259,有一个Xuhui的public housing，2卧2厅1卫，面积是70平方米，有供暖，有空调，有地暖，房租价格是15000.0。
2260,有一个Xuhui的public housing，1卧1厅1卫，面积是60平方米，有供暖，有空调，房租价格是15000.0。
2261,有一个Xuhui的public housing，2卧1厅1卫，面积是82平方米，有室外空间，有供暖，有空调，有WIFI，有地暖，房租价格是15000.0。
2262,有一个Xuhui的detached lane house，2卧2厅2卫，面积是70平方米，有供暖，有空调，有WIFI，有浴缸，房租价格是15000.0。
2263,有一个Xuhui的public housing，2卧2厅1卫，面积是70平方米，有空调，房租价格是15000.0。
2264,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有WIFI，有地暖，房租价格是15000.0。
2265,有一个Xuhui的detached lane house，2卧1厅1卫，面积是100平方米，有供暖，有空调，有WIFI，有浴缸，房租价格是15000.0。
2266,有一个Xuhui的public housing，2卧2厅1卫，面积是68平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是15000.0。
2267,有一个Xuhui的detached lane house，1卧2厅1卫，面积是60平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有WIFI，有地暖，房租价格是15000.0。
2268,有一个Xuhui的detached lane house，1卧2厅1卫，面积是80平方米，有室外空间，有供暖，有地暖，房租价格是15000.0。
2269,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有WIFI，有烤箱，房租价格是15000.0。
2270,有一个Xuhui的detached lane house，2卧1厅2卫，面积是70平方米，有室外空间，有供暖，房租价格是15000.0。
2271,有一个Xuhui的public housing，2卧2厅1卫，面积是95平方米，有室外空间，有供暖，有空调，有WIFI，房租价格是15500.0。
2272,有一个Xuhui的detached lane house，2卧1厅1卫，面积是70平方米，有室外空间，有空调，房租价格是15500.0。
2273,有一个Xuhui的attached lane house，1卧1厅1卫，面积是65平方米，整栋建筑，有室外空间，有供暖，有空调，房租价格是15500.0。
2274,有一个Xuhui的attached lane house，1卧1厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有地暖，房租价格是15500.0。
2275,有一个Xuhui的detached lane house，2卧2厅1卫，面积是85平方米，有室外空间，有供暖，有空调，有阳台，有地暖，有烤箱，房租价格是15500.0。
2276,有一个Xuhui的attached lane house，2卧1厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有地暖，房租价格是15500.0。
2277,有一个Xuhui的public housing，2卧2厅2卫，面积是100平方米，有室外空间，有供暖，有空调，有WIFI，有浴缸，有地暖，房租价格是15500.0。
2278,有一个Xuhui的attached lane house，2卧1厅2卫，面积是120平方米，有空调，有阳台，房租价格是15500.0。
2279,有一个Xuhui的detached lane house，1卧2厅1卫，面积是75平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是15500.0。
2280,有一个Xuhui的detached lane house，1卧2厅1卫，面积是60平方米，有空调，房租价格是15500.0。
2281,有一个Xuhui的public housing，2卧2厅1卫，面积是68平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是15800.0。
2282,有一个Xuhui的attached lane house，2卧2厅2卫，面积是110平方米，有室外空间，有烤箱，房租价格是15800.0。
2283,有一个Xuhui的attached lane house，2卧2厅0卫，面积是80平方米，有室外空间，有供暖，有空调，有WIFI，有烤箱，房租价格是15800.0。
2284,有一个Xuhui的attached lane house，2卧2厅2卫，面积是90平方米，有供暖，有空调，有WIFI，有浴缸，房租价格是15800.0。
2285,有一个Xuhui的attached lane house，2卧2厅1卫，面积是87平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是15999.0。
2286,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有空调，有阳台，房租价格是15999.0。
2287,有一个Xuhui的detached lane house，1卧1厅1卫，面积是75平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是15999.0。
2288,有一个Xuhui的detached lane house，2卧1厅2卫，面积是98平方米，有室外空间，有空调，有阳台，房租价格是16000.0。
2289,有一个Xuhui的public housing，1卧1厅1卫，面积是60平方米，有供暖，有空调，有地暖，房租价格是16000.0。
2290,有一个Xuhui的attached lane house，2卧1厅1卫，面积是36平方米，整栋建筑，有供暖，有空调，房租价格是16000.0。
2291,有一个Xuhui的public housing，1卧2厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有阳台，有地暖，房租价格是16000.0。
2292,有一个Xuhui的detached lane house，2卧2厅2卫，面积是101平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是16000.0。
2293,有一个Xuhui的attached lane house，2卧2厅1卫，面积是80平方米，有室外空间，有供暖，有空调，房租价格是16000.0。
2294,有一个Xuhui的attached lane house，2卧2厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有烤箱，房租价格是16000.0。
2295,有一个Xuhui的attached lane house，1卧2厅1卫，面积是90平方米，有空调，房租价格是16000.0。
2296,有一个Xuhui的public housing，1卧2厅1卫，面积是70平方米，有供暖，有空调，有阳台，有浴缸，有地暖，房租价格是16000.0。
2297,有一个Xuhui的attached lane house，2卧2厅1卫，面积是90平方米，有空调，有WIFI，房租价格是16000.0。
2298,有一个Xuhui的public housing，1卧2厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，有烤箱，房租价格是16000.0。
2299,有一个Xuhui的public housing，2卧1厅1卫，面积是100平方米，有空调，有阳台，房租价格是16000.0。
2300,有一个Xuhui的attached lane house，2卧2厅2卫，面积是70平方米，有供暖，有空调，有阳台，房租价格是16000.0。
2301,有一个Xuhui的attached lane house，2卧2厅1卫，面积是70平方米，有室外空间，有供暖，房租价格是16000.0。
2302,有一个Xuhui的public housing，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是16000.0。
2303,有一个Xuhui的public housing，2卧2厅1卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有烤箱，房租价格是16000.0。
2304,有一个Xuhui的detached lane house，1卧1厅1卫，面积是80平方米，整栋建筑，有室外空间，有供暖，有空调，有地暖，房租价格是16000.0。
2305,有一个Xuhui的attached lane house，1卧1厅1卫，面积是90平方米，有空调，房租价格是16000.0。
2306,有一个Xuhui的detached lane house，1卧2厅1卫，面积是71平方米，有空调，有浴缸，房租价格是16000.0。
2307,有一个Xuhui的attached lane house，2卧2厅2卫，面积是80平方米，有供暖，有空调，有地暖，房租价格是16000.0。
2308,有一个Xuhui的attached lane house，4卧0厅2卫，面积是100平方米，整栋建筑，有室外空间，房租价格是16000.0。
2309,有一个Xuhui的detached lane house，1卧1厅1卫，面积是56平方米，有供暖，有空调，有地暖，房租价格是16500.0。
2310,有一个Xuhui的detached lane house，1卧1厅1卫，面积是80平方米，有室外空间，有空调，有浴缸，房租价格是16500.0。
2311,有一个Xuhui的attached lane house，1卧2厅1卫，面积是80平方米，有室外空间，有空调，房租价格是16500.0。
2312,有一个Xuhui的public housing，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，房租价格是16500.0。
2313,有一个Xuhui的public housing，2卧1厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是16500.0。
2314,有一个Xuhui的public housing，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是16500.0。
2315,有一个Xuhui的detached lane house，3卧2厅2卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是16500.0。
2316,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，有浴缸，房租价格是16800.0。
2317,有一个Xuhui的attached lane house，2卧2厅1卫，面积是90平方米，有室外空间，有供暖，有空调，房租价格是16800.0。
2318,有一个Xuhui的attached lane house，1卧2厅1卫，面积是110平方米，有室外空间，有浴缸，房租价格是16800.0。
2319,有一个Xuhui的detached lane house，2卧1厅1卫，面积是80平方米，有室外空间，房租价格是16800.0。
2320,有一个Xuhui的public housing，2卧1厅1卫，面积是75平方米，有供暖，有阳台，有地暖，有烤箱，房租价格是16800.0。
2321,有一个Xuhui的detached lane house，1卧2厅1卫，面积是60平方米，有室外空间，房租价格是17000.0。
2322,有一个Xuhui的detached lane house，2卧1厅1卫，面积是95平方米，有室外空间，房租价格是17000.0。
2323,有一个Xuhui的attached lane house，1卧2厅1卫，面积是80平方米，有室外空间，有空调，有阳台，房租价格是17000.0。
2324,有一个Xuhui的public housing，2卧1厅1卫，面积是100平方米，有供暖，有空调，有WIFI，有地暖，有烤箱，房租价格是17000.0。
2325,有一个Xuhui的attached lane house，2卧1厅1卫，面积是90平方米，有室外空间，有空调，房租价格是17000.0。
2326,有一个Xuhui的attached lane house，1卧1厅1卫，面积是70平方米，有空调，有阳台，房租价格是17000.0。
2327,有一个Xuhui的attached lane house，2卧1厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是17000.0。
2328,有一个Xuhui的attached lane house，3卧2厅2卫，面积是150平方米，有供暖，有空调，房租价格是17500.0。
2329,有一个Xuhui的public housing，2卧1厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有烤箱，房租价格是17500.0。
2330,有一个Xuhui的attached lane house，3卧2厅2卫，面积是100平方米，有室外空间，有空调，有阳台，房租价格是17500.0。
2331,有一个Xuhui的detached lane house，2卧2厅1卫，面积是110平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是17800.0。
2332,有一个Xuhui的attached lane house，2卧2厅2卫，面积是90平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是17900.0。
2333,有一个Xuhui的public housing，2卧2厅1卫，面积是90平方米，有室外空间，有供暖，有空调，房租价格是18000.0。
2334,有一个Xuhui的public housing，2卧2厅1卫，面积是90平方米，有浴缸，房租价格是18000.0。
2335,有一个Xuhui的attached lane house，2卧2厅1卫，面积是80平方米，有室外空间，有供暖，房租价格是18000.0。
2336,有一个Xuhui的public housing，2卧2厅2卫，面积是120平方米，有供暖，有空调，有阳台，有地暖，房租价格是18000.0。
2337,有一个Xuhui的detached lane house，2卧2厅1卫，面积是125平方米，有室外空间，房租价格是18000.0。
2338,有一个Xuhui的villa，3卧2厅1卫，面积是150平方米，有室外空间，房租价格是18000.0。
2339,有一个Xuhui的detached lane house，1卧1厅1卫，面积是70平方米，有供暖，房租价格是18000.0。
2340,有一个Xuhui的detached lane house，2卧2厅1卫，面积是90平方米，有室外空间，房租价格是18000.0。
2341,有一个Xuhui的detached lane house，1卧1厅1卫，面积是70平方米，房租价格是18000.0。
2342,有一个Xuhui的public housing，2卧2厅1卫，面积是90平方米，有供暖，有空调，有阳台，有浴缸，房租价格是18000.0。
2343,有一个Xuhui的attached lane house，2卧2厅1卫，面积是110平方米，有空调，有浴缸，房租价格是18000.0。
2344,有一个Xuhui的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有地暖，房租价格是18000.0。
2345,有一个Xuhui的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有空调，有地暖，房租价格是18000.0。
2346,有一个Xuhui的detached lane house，2卧1厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有地暖，房租价格是18000.0。
2347,有一个Xuhui的attached lane house，2卧2厅1卫，面积是100平方米，有室外空间，房租价格是18000.0。
2348,有一个Xuhui的public housing，1卧2厅1卫，面积是110平方米，有供暖，有空调，有阳台，有地暖，房租价格是18000.0。
2349,有一个Xuhui的public housing，2卧1厅1卫，面积是63平方米，有室外空间，有供暖，有空调，有地暖，有烤箱，房租价格是18000.0。
2350,有一个Xuhui的attached lane house，2卧2厅1卫，面积是80平方米，有室外空间，有空调，有浴缸，房租价格是18000.0。
2351,有一个Xuhui的detached lane house，3卧1厅1卫，面积是100平方米，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是18000.0。
2352,有一个Xuhui的attached lane house，2卧1厅1卫，面积是100平方米，有室外空间，有供暖，有浴缸，房租价格是18000.0。
2353,有一个Xuhui的detached lane house，2卧2厅2卫，面积是115平方米，有供暖，有空调，有浴缸，有地暖，房租价格是18000.0。
2354,有一个Xuhui的detached lane house，1卧2厅2卫，面积是80平方米，有室外空间，有供暖，有空调，有地暖，房租价格是18000.0。
2355,有一个Xuhui的public housing，1卧1厅1卫，面积是55平方米，有室外空间，有供暖，有空调，有阳台，有地暖，房租价格是18000.0。
2356,有一个Xuhui的public housing，2卧1厅1卫，面积是80平方米，有供暖，有空调，房租价格是18000.0。
2357,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有地暖，房租价格是18000.0。
2358,有一个Xuhui的public housing，2卧2厅2卫，面积是90平方米，有供暖，有空调，有阳台，有WIFI，有烤箱，房租价格是18000.0。
2359,有一个Xuhui的detached lane house，2卧2厅2卫，面积是115平方米，有浴缸，有地暖，房租价格是18000.0。
2360,有一个Xuhui的detached lane house，2卧2厅1卫，面积是100平方米，有空调，房租价格是18000.0。
2361,有一个Xuhui的public housing，2卧2厅2卫，面积是100平方米，有供暖，有空调，有地暖，房租价格是18000.0。
2362,有一个Xuhui的detached lane house，1卧1厅1卫，面积是68平方米，有室外空间，有空调，房租价格是18000.0。
2363,有一个Xuhui的public housing，2卧2厅2卫，面积是110平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有烤箱，房租价格是18000.0。
2364,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有空调，房租价格是18000.0。
2365,有一个Xuhui的detached lane house，3卧2厅2卫，面积是135平方米，有供暖，房租价格是18500.0。
2366,有一个Xuhui的attached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有供暖，有空调，有阳台，有地暖，有烤箱，房租价格是18500.0。
2367,有一个Xuhui的public housing，2卧2厅1卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有地暖，房租价格是18700.0。
2368,有一个Xuhui的detached lane house，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，房租价格是18800.0。
2369,有一个Xuhui的attached lane house，2卧2厅2卫，面积是100平方米，有室外空间，有空调，房租价格是18800.0。
2370,有一个Xuhui的detached lane house，2卧2厅2卫，面积是150平方米，有室外空间，有浴缸，房租价格是18800.0。
2371,有一个Xuhui的public housing，2卧2厅1卫，面积是110平方米，有供暖，有空调，房租价格是18800.0。
2372,有一个Xuhui的detached lane house，3卧2厅2卫，面积是135平方米，有室外空间，有浴缸，有烤箱，房租价格是18800.0。
2373,有一个Xuhui的attached lane house，1卧1厅2卫，面积是70平方米，有供暖，有地暖，房租价格是19000.0。
2374,有一个Xuhui的attached lane house，2卧2厅1卫，面积是100平方米，有供暖，有空调，有WIFI，有浴缸，房租价格是19000.0。
2375,有一个Xuhui的detached lane house，3卧2厅3卫，面积是180平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是19000.0。
2376,有一个Xuhui的attached lane house，2卧2厅2卫，面积是70平方米，有室外空间，房租价格是19000.0。
2377,有一个Xuhui的attached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是19000.0。
2378,有一个Xuhui的attached lane house，4卧2厅2卫，面积是200平方米，有供暖，有空调，有阳台，房租价格是19000.0。
2379,有一个Xuhui的attached lane house，2卧2厅2卫，面积是73平方米，有空调，有阳台，房租价格是19000.0。
2380,有一个Xuhui的detached lane house，2卧2厅1卫，面积是110平方米，有室外空间，房租价格是19000.0。
2381,有一个Xuhui的detached lane house，2卧2厅1卫，面积是110平方米，有供暖，有空调，有地暖，房租价格是19000.0。
2382,有一个Xuhui的attached lane house，3卧2厅2卫，面积是135平方米，有供暖，有空调，房租价格是19500.0。
2383,有一个Xuhui的attached lane house，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是19500.0。
2384,有一个Xuhui的attached lane house，2卧2厅2卫，面积是135平方米，有供暖，有空调，有WIFI，房租价格是19500.0。
2385,有一个Xuhui的public housing，2卧2厅1卫，面积是80平方米，有供暖，有空调，有阳台，房租价格是19500.0。
2386,有一个Xuhui的detached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是19800.0。
2387,有一个Xuhui的attached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有供暖，有地暖，房租价格是19900.0。
2388,有一个Xuhui的attached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有浴缸，房租价格是20000.0。
2389,有一个Xuhui的attached lane house，2卧1厅2卫，面积是100平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是20000.0。
2390,有一个Xuhui的detached lane house，3卧2厅2卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是20000.0。
2391,有一个Xuhui的public housing，2卧2厅1卫，面积是110平方米，有供暖，有空调，有浴缸，有地暖，房租价格是20000.0。
2392,有一个Xuhui的detached lane house，1卧1厅1卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，房租价格是20000.0。
2393,有一个Xuhui的attached lane house，2卧2厅1卫，面积是70平方米，有供暖，有空调，有阳台，有WIFI，房租价格是20000.0。
2394,有一个Xuhui的detached lane house，1卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是20000.0。
2395,有一个Xuhui的detached lane house，2卧2厅2卫，面积是120平方米，有供暖，有浴缸，有地暖，房租价格是20000.0。
2396,有一个Xuhui的attached lane house，2卧2厅1卫，面积是110平方米，有供暖，有空调，有阳台，有地暖，房租价格是20000.0。
2397,有一个Xuhui的detached lane house，2卧2厅1卫，面积是100平方米，整栋建筑，有室外空间，有供暖，有空调，有阳台，有WIFI，有地暖，房租价格是20000.0。
2398,有一个Xuhui的public housing，3卧2厅1卫，面积是140平方米，有室外空间，房租价格是20000.0。
2399,有一个Xuhui的attached lane house，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有空调，有WIFI，有地暖，房租价格是20000.0。
2400,有一个Xuhui的public housing，2卧2厅1卫，面积是120平方米，有供暖，有空调，房租价格是20000.0。
2401,有一个Xuhui的attached lane house，2卧1厅1卫，面积是90平方米，有空调，房租价格是20000.0。
2402,有一个Xuhui的attached lane house，3卧2厅2卫，面积是85平方米，有室外空间，房租价格是20000.0。
2403,有一个Xuhui的attached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有浴缸，房租价格是20000.0。
2404,有一个Xuhui的detached lane house，2卧2厅1卫，面积是80平方米，有室外空间，房租价格是20000.0。
2405,有一个Xuhui的attached lane house，5卧2厅2卫，面积是120平方米，有室外空间，有空调，房租价格是21000.0。
2406,有一个Xuhui的attached lane house，1卧1厅1卫，面积是90平方米，有室外空间，有空调，房租价格是21000.0。
2407,有一个Xuhui的public housing，2卧1厅1卫，面积是100平方米，有室外空间，房租价格是21000.0。
2408,有一个Xuhui的detached lane house，2卧2厅2卫，面积是110平方米，有供暖，有地暖，房租价格是21000.0。
2409,有一个Xuhui的attached lane house，2卧1厅1卫，面积是70平方米，整栋建筑，有室外空间，有空调，房租价格是21000.0。
2410,有一个Xuhui的detached lane house，2卧2厅1卫，面积是100平方米，有室外空间，有供暖，有空调，有阳台，有烤箱，房租价格是21800.0。
2411,有一个Xuhui的detached lane house，2卧2厅2卫，面积是90平方米，有供暖，有空调，有阳台，房租价格是21800.0。
2412,有一个Xuhui的attached lane house，2卧2厅2卫，面积是130平方米，有室外空间，有供暖，有空调，有地暖，房租价格是21800.0。
2413,有一个Xuhui的attached lane house，2卧1厅1卫，面积是150平方米，整栋建筑，有空调，有地暖，房租价格是22000.0。
2414,有一个Xuhui的attached lane house，2卧2厅2卫，面积是120平方米，有供暖，有空调，有WIFI，有浴缸，房租价格是22000.0。
2415,有一个Xuhui的public housing，3卧2厅1卫，面积是100平方米，有室外空间，房租价格是22000.0。
2416,有一个Xuhui的attached lane house，2卧2厅2卫，面积是90平方米，有室外空间，有供暖，有浴缸，房租价格是22000.0。
2417,有一个Xuhui的attached lane house，3卧2厅2卫，面积是100平方米，有室外空间，有供暖，有浴缸，房租价格是22000.0。
2418,有一个Xuhui的detached lane house，2卧2厅2卫，面积是100平方米，有供暖，有空调，有WIFI，有地暖，房租价格是22000.0。
2419,有一个Xuhui的public housing，2卧2厅2卫，面积是130平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是22000.0。
2420,有一个Xuhui的detached lane house，2卧2厅2卫，面积是100平方米，有空调，房租价格是22000.0。
2421,有一个Xuhui的public housing，2卧2厅2卫，面积是100平方米，有供暖，有空调，有地暖，房租价格是22000.0。
2422,有一个Xuhui的attached lane house，2卧2厅1卫，面积是100平方米，有空调，有阳台，房租价格是22000.0。
2423,有一个Xuhui的detached lane house，2卧2厅2卫，面积是100平方米，有供暖，有浴缸，房租价格是22000.0。
2424,有一个Xuhui的public housing，2卧2厅2卫，面积是80平方米，有室外空间，有浴缸，房租价格是22000.0。
2425,有一个Xuhui的public housing，2卧2厅2卫，面积是120平方米，有供暖，有空调，有阳台，有浴缸，房租价格是22000.0。
2426,有一个Xuhui的detached lane house，2卧2厅1卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是22000.0。
2427,有一个Xuhui的detached lane house，2卧2厅2卫，面积是120平方米，有室外空间，有浴缸，房租价格是22000.0。
2428,有一个Xuhui的attached lane house，3卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是22000.0。
2429,有一个Xuhui的attached lane house，2卧2厅1卫，面积是130平方米，有室外空间，有供暖，有空调，有地暖，房租价格是22000.0。
2430,有一个Xuhui的public housing，2卧2厅2卫，面积是120平方米，有室外空间，有浴缸，房租价格是22000.0。
2431,有一个Xuhui的public housing，3卧2厅1卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有地暖，有烤箱，房租价格是22500.0。
2432,有一个Xuhui的detached lane house，1卧1厅1卫，面积是100平方米，有室外空间，有空调，房租价格是22600.0。
2433,有一个Xuhui的public housing，2卧2厅1卫，面积是90平方米，有室外空间，有供暖，有空调，有地暖，房租价格是22800.0。
2434,有一个Xuhui的detached lane house，2卧1厅1卫，面积是100平方米，有室外空间，房租价格是23000.0。
2435,有一个Xuhui的public housing，2卧2厅1卫，面积是80平方米，有室外空间，有供暖，有地暖，房租价格是23000.0。
2436,有一个Xuhui的detached lane house，2卧2厅3卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是23000.0。
2437,有一个Xuhui的attached lane house，2卧2厅2卫，面积是130平方米，有室外空间，有供暖，有空调，房租价格是23000.0。
2438,有一个Xuhui的public housing，2卧2厅2卫，面积是110平方米，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是23000.0。
2439,有一个Xuhui的detached lane house，1卧1厅2卫，面积是80平方米，有室外空间，有空调，房租价格是23000.0。
2440,有一个Xuhui的detached lane house，2卧2厅2卫，面积是160平方米，有室外空间，有浴缸，房租价格是23000.0。
2441,有一个Xuhui的detached lane house，3卧2厅2卫，面积是100平方米，有供暖，有空调，有WIFI，有地暖，房租价格是23000.0。
2442,有一个Xuhui的detached lane house，1卧1厅1卫，面积是80平方米，有室外空间，有供暖，有空调，有阳台，有地暖，房租价格是23000.0。
2443,有一个Xuhui的detached lane house，2卧1厅1卫，面积是80平方米，有供暖，有空调，有WIFI，有地暖，房租价格是23000.0。
2444,有一个Xuhui的attached lane house，2卧2厅2卫，面积是100平方米，有供暖，有空调，有浴缸，有烤箱，房租价格是23000.0。
2445,有一个Xuhui的attached lane house，2卧2厅2卫，面积是80平方米，有室外空间，有供暖，有空调，房租价格是23000.0。
2446,有一个Xuhui的detached lane house，3卧2厅2卫，面积是105平方米，有浴缸，房租价格是23000.0。
2447,有一个Xuhui的detached lane house，2卧2厅2卫，面积是80平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是23000.0。
2448,有一个Xuhui的detached lane house，3卧2厅2卫，面积是130平方米，有室外空间，有供暖，有地暖，房租价格是23000.0。
2449,有一个Xuhui的attached lane house，2卧1厅1卫，面积是80平方米，有室外空间，有供暖，有地暖，有烤箱，房租价格是23000.0。
2450,有一个Xuhui的villa，2卧2厅3卫，面积是150平方米，有室外空间，有空调，有地暖，房租价格是23000.0。
2451,有一个Xuhui的detached lane house，2卧2厅2卫，面积是100平方米，有室外空间，房租价格是23000.0。
2452,有一个Xuhui的detached lane house，2卧1厅2卫，面积是100平方米，有室外空间，有供暖，有空调，有地暖，房租价格是23000.0。
2453,有一个Xuhui的attached lane house，3卧2厅2卫，面积是160平方米，有室外空间，有供暖，有地暖，房租价格是23500.0。
2454,有一个Xuhui的villa，2卧2厅2卫，面积是110平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是23500.0。
2455,有一个Xuhui的attached lane house，3卧2厅2卫，面积是150平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是23500.0。
2456,有一个Xuhui的public housing，3卧2厅2卫，面积是110平方米，有室外空间，有浴缸，房租价格是23800.0。
2457,有一个Xuhui的public housing，2卧2厅1卫，面积是120平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，有烤箱，房租价格是23800.0。
2458,有一个Xuhui的public housing，3卧2厅2卫，面积是120平方米，有室外空间，有供暖，有浴缸，有地暖，房租价格是24000.0。
2459,有一个Xuhui的public housing，3卧2厅3卫，面积是130平方米，有室外空间，有供暖，有空调，有阳台，房租价格是24000.0。
